,team_name,opponent_name,conference,home,away,neutral,offensive_efficiency,adjusted_offensive_efficiency
941,Monmouth Hawks,Central Connecticut Blue Devils,MAAC,1,0,0,1.07542,0.951194968449506
942,UIC Flames,Kent State Golden Flashes,Horizon,0,1,0,1.00289,1.0106602001618261
943,Kent State Golden Flashes,UIC Flames,MAC,1,0,0,1.28235,1.1691241712719367
944,Hampton Pirates,North Dakota State Bison,MEAC,0,1,0,1.10744,1.1933262789830474
945,North Dakota State Bison,Hampton Pirates,Summit,1,0,0,1.25625,1.242469138321683
946,Belmont Bruins,Western Kentucky Hilltoppers,OVC,0,1,0,1.01626,1.0442348344910395
947,Western Kentucky Hilltoppers,Belmont Bruins,CUSA,1,0,0,0.99012,0.9330495626103584
948,Lamar Cardinals,Indiana Hoosiers,Southland,0,1,0,1.11078,1.1262461262178678
949,Indiana Hoosiers,Lamar Cardinals,Big Ten,1,0,0,1.39304,1.2105415312208772
950,William & Mary Tribe,Rice Owls,CAA,0,1,0,1.1489,1.1487098731449825
951,Rice Owls,William & Mary Tribe,CUSA,1,0,0,1.10346,1.0370618037093007
952,SE Louisiana Lions,Western Illinois Leathernecks,Southland,0,1,0,0.89313,0.8842720136426336
953,Western Illinois Leathernecks,SE Louisiana Lions,Summit,1,0,0,0.92237,0.890683483692049
954,Northeastern Huskies,Navy Midshipmen,CAA,0,0,1,1.23489,1.210279964980037
955,Navy Midshipmen,Northeastern Huskies,Patriot,0,0,1,0.85638,0.9107012092142281
956,Morgan State Bears,Houston Cougars,MEAC,0,1,0,0.79677,0.8699911129817359
957,Houston Cougars,Morgan State Bears,American,1,0,0,0.99101,0.879823404128401
958,Missouri State Bears,Texas Tech Red Raiders,MVC,0,1,0,1.06741,1.098920550400048
959,Texas Tech Red Raiders,Missouri State Bears,Big 12,1,0,0,1.25125,1.0973226610083038
960,UMBC Retrievers,Minnesota Golden Gophers,AM. EAST,0,1,0,0.80885,0.9247724793405634
961,Minnesota Golden Gophers,UMBC Retrievers,Big Ten,1,0,0,1.10305,0.893792261484545
962,Houston Christian Huskies,UT Arlington Mavericks,Southland,0,1,0,1.01175,1.0432514557992665
963,UT Arlington Mavericks,Houston Christian Huskies,Sun Belt,1,0,0,1.2643,1.1366334985353674
964,New Mexico State Aggies,UTEP Miners,WAC,0,1,0,1.23621,1.4168930070967216
965,UTEP Miners,New Mexico State Aggies,CUSA,1,0,0,1.13545,1.1622608724870935
966,Stanford Cardinal,Duke Blue Devils,Pac-12,0,0,1,0.95789,1.0340730516630154
967,Duke Blue Devils,Stanford Cardinal,ACC,0,0,1,1.16183,1.0997438014161154
968,Utah Valley Wolverines,Southern Utah Thunderbirds,WAC,0,1,0,1.25271,1.2583148042548615
969,Southern Utah Thunderbirds,Utah Valley Wolverines,Big Sky,1,0,0,1.11927,1.0352502089229447
970,Morehead State Eagles,Presbyterian Blue Hose,OVC,0,0,1,1.00891,0.8893341905646884
971,Presbyterian Blue Hose,Morehead State Eagles,Big South,0,0,1,0.72502,0.7687280483995158
972,Valparaiso Beacons,Maine Black Bears,Horizon,0,0,1,1.23502,1.1138051304458267
973,Maine Black Bears,Valparaiso Beacons,AM. EAST,0,0,1,0.9455,1.0629955389985755
974,Northwestern State Demons,Oklahoma Sooners,Southland,0,1,0,0.89481,1.0786185788950555
975,Oklahoma Sooners,Northwestern State Demons,Big 12,1,0,0,1.17305,0.9233108728825805
976,SIU Edwardsville Cougars,Portland Pilots,OVC,0,1,0,0.84262,0.8497598607581848
977,Portland Pilots,SIU Edwardsville Cougars,WCC,1,0,0,1.20266,1.0970247297033586
978,Charleston Cougars,George Mason Patriots,CAA,0,0,1,1.00287,0.9856633851883885
979,George Mason Patriots,Charleston Cougars,A-10,0,0,1,0.97595,0.9452688840877004
980,Youngstown State Penguins,UNC Greensboro Spartans,Horizon,0,0,1,1.2202,1.1742294421145416
981,UNC Greensboro Spartans,Youngstown State Penguins,Southern,0,0,1,1.03548,0.890757937469643
982,Wofford Terriers,Sam Houston Bearkats,Southern,0,0,1,1.03263,1.0767951857849114
983,Sam Houston Bearkats,Wofford Terriers,Southland,0,0,1,0.84057,0.9451204815717806
984,Arkansas-Pine Bluff Golden Lions,Central Michigan Chippewas,SWAC,0,0,1,0.73622,0.8438353701769358
985,Central Michigan Chippewas,Arkansas-Pine Bluff Golden Lions,MAC,0,0,1,1.23772,1.1324285492910735
986,Southern Illinois Salukis,UIC Flames,MVC,0,0,1,1.04105,0.9745472182721479
987,UIC Flames,Southern Illinois Salukis,Horizon,0,0,1,0.9202,0.9031397641272212
988,Massachusetts Minutemen,Florida State Seminoles,A-10,0,0,1,1.09726,1.124296243703757
989,Florida State Seminoles,Massachusetts Minutemen,ACC,0,0,1,0.9819,0.9050930619219045
990,American University Eagles,Morehead State Eagles,Patriot,0,0,1,0.90349,0.9491589477327111
991,Morehead State Eagles,American University Eagles,OVC,0,0,1,0.77888,0.8058607140359584
992,Drexel Dragons,Cornell Big Red,CAA,0,0,1,0.93885,0.9451165348627183
993,Cornell Big Red,Drexel Dragons,Ivy,0,0,1,0.8815,0.8616667199388918
994,Cal State Northridge Matadors,Little Rock Trojans,Big West,0,1,0,1.059,1.0049339057020745
995,Little Rock Trojans,Cal State Northridge Matadors,Sun Belt,1,0,0,1.17915,1.102832399189501
996,Bethune-Cookman Wildcats,Central Connecticut Blue Devils,MEAC,0,0,1,1.07816,1.054757471406667
997,Central Connecticut Blue Devils,Bethune-Cookman Wildcats,NEC,0,0,1,0.99018,0.9813324067852145
998,Texas A&M Aggies,New Mexico Lobos,SEC,0,0,1,1.09218,1.0769958460171012
999,New Mexico Lobos,Texas A&M Aggies,Mountain West,0,0,1,0.84112,0.9185496710758649
1000,Texas A&M-Corpus Christi Islanders,Saint Louis Billikens,Southland,0,1,0,1.03899,1.029233051666679
1001,Saint Louis Billikens,Texas A&M-Corpus Christi Islanders,A-10,1,0,0,0.92241,0.8308827912966724
1002,South Dakota Coyotes,Fairfield Stags,Summit,0,0,1,1.07265,1.0887767604351135
1003,Fairfield Stags,South Dakota Coyotes,MAAC,0,0,1,1.19663,1.1616012980470922
1004,Columbia Lions,Lehigh Mountain Hawks,Ivy,0,1,0,0.92334,0.9453477861469802
1005,Lehigh Mountain Hawks,Columbia Lions,Patriot,1,0,0,0.75883,0.7170680908777501
1006,Providence Friars,Notre Dame Fighting Irish,Big East,0,0,1,1.23694,1.2015279036544244
1007,Notre Dame Fighting Irish,Providence Friars,ACC,0,0,1,1.25625,1.263818734585127
1008,Longwood Lancers,Eastern Michigan Eagles,Big South,0,1,0,0.71469,0.7853310308776646
1009,Eastern Michigan Eagles,Longwood Lancers,MAC,1,0,0,1.20662,1.0490523261370832
1010,Coppin State Eagles,Denver Pioneers,MEAC,0,1,0,0.87345,0.9249947803199758
1011,Denver Pioneers,Coppin State Eagles,Summit,1,0,0,1.2475,1.1120098879692264
1012,USC Trojans,Penn State Nittany Lions,Pac-12,0,0,1,1.02685,1.0670770646122252
1013,Penn State Nittany Lions,USC Trojans,Big Ten,0,0,1,1.01902,0.9533507424826004
1014,Yale Bulldogs,Kent State Golden Flashes,Ivy,0,1,0,1.20868,1.2296305682127622
1015,Kent State Golden Flashes,Yale Bulldogs,MAC,1,0,0,1.06109,1.0731746196288021
1016,Jackson State Tigers,UAB Blazers,SWAC,0,1,0,0.79106,0.9558422090156834
1017,UAB Blazers,Jackson State Tigers,CUSA,1,0,0,0.89852,0.8489861826212712
1018,South Florida Bulls,NC State Wolfpack,American,0,1,0,1.06259,1.1288378191947752
1019,NC State Wolfpack,South Florida Bulls,ACC,1,0,0,1.10332,0.9521291161539721
1020,Dayton Flyers,Boston College Eagles,A-10,0,0,1,1.06192,1.0618283378521356
1021,Boston College Eagles,Dayton Flyers,ACC,0,0,1,0.83903,0.8339538868894865
1022,North Carolina Central Eagles,Creighton Bluejays,MEAC,0,1,0,0.76443,0.8477647872007983
1023,Creighton Bluejays,North Carolina Central Eagles,Big East,1,0,0,1.09207,1.0054558624660273
1024,Towson Tigers,Monmouth Hawks,CAA,0,1,0,1.2476,1.2709370307461327
1025,Monmouth Hawks,Towson Tigers,MAAC,1,0,0,1.19311,1.12859630868965
1026,Samford Bulldogs,Kansas City Roos,Southern,0,0,1,1.02501,0.9218547212883388
1027,Kansas City Roos,Samford Bulldogs,WAC,0,0,1,0.89073,0.9378756965638562
1028,Wagner Seahawks,Hofstra Pride,NEC,0,1,0,0.97673,0.9999392157688365
1029,Hofstra Pride,Wagner Seahawks,CAA,1,0,0,1.28209,1.1851550878848136
1030,Florida Atlantic Owls,Georgia Bulldogs,CUSA,0,1,0,0.86569,0.9791280891914808
1031,Georgia Bulldogs,Florida Atlantic Owls,SEC,1,0,0,1.06234,0.9121231138408077
1032,St. Francis Brooklyn Terriers,Rutgers Scarlet Knights,NEC,0,1,0,1.04453,1.120938274819494
1033,Rutgers Scarlet Knights,St. Francis Brooklyn Terriers,Big Ten,1,0,0,1.13289,0.996740758697122
1034,Presbyterian Blue Hose,Louisiana Tech Bulldogs,Big South,0,1,0,0.81539,0.8955336979259316
1035,Louisiana Tech Bulldogs,Presbyterian Blue Hose,CUSA,1,0,0,1.27442,1.1132508336837525
1036,Eastern Illinois Panthers,Cincinnati Bearcats,OVC,0,1,0,0.78865,0.9302954475805566
1037,Cincinnati Bearcats,Eastern Illinois Panthers,American,1,0,0,0.87074,0.8175761189600722
1038,Navy Midshipmen,Binghamton Bearcats,Patriot,0,0,1,1.13861,1.1017105979668818
1039,Binghamton Bearcats,Navy Midshipmen,AM. EAST,0,0,1,1.09243,1.1311297142750827
1040,North Carolina A&T Aggies,Bradley Braves,MEAC,0,1,0,0.90234,1.0034186756203252
1041,Bradley Braves,North Carolina A&T Aggies,MVC,1,0,0,1.06668,0.9342309196771964
1042,Gardner-Webb Runnin' Bulldogs,Seton Hall Pirates,Big South,0,0,1,0.88884,0.9506684308471941
1043,Seton Hall Pirates,Gardner-Webb Runnin' Bulldogs,Big East,0,0,1,1.20171,1.0291020369981376
1044,UMass Lowell River Hawks,Fordham Rams,AM. EAST,0,1,0,0.98853,1.0383102980879493
1045,Fordham Rams,UMass Lowell River Hawks,A-10,1,0,0,0.87574,0.7811489669219879
1046,South Carolina Upstate Spartans,UCF Knights,ASUN,0,1,0,1.1294,1.0873154548461008
1047,UCF Knights,South Carolina Upstate Spartans,American,1,0,0,1.24086,1.187611268528463
1048,Iona Gaels,North Texas Mean Green,MAAC,0,1,0,1.23106,1.2617364023227486
1049,North Texas Mean Green,Iona Gaels,CUSA,1,0,0,0.97008,0.9092900580567251
1050,Akron Zips,South Carolina Gamecocks,MAC,0,0,1,1.02836,1.1174574815367366
1051,South Carolina Gamecocks,Akron Zips,SEC,0,0,1,0.95385,0.9331480132014198
1052,Montana State Bobcats,Kentucky Wildcats,Big Sky,0,1,0,0.41738,0.6850301256209346
1053,Kentucky Wildcats,Montana State Bobcats,SEC,1,0,0,1.28416,1.1070580914871953
1054,UConn Huskies,West Virginia Mountaineers,American,0,0,1,0.97138,1.0792362662129638
1055,West Virginia Mountaineers,UConn Huskies,Big 12,0,0,1,1.15873,1.1417930346746032
1056,Tennessee State Tigers,Vanderbilt Commodores,OVC,1,0,0,0.73582,0.7548989902843982
1057,Vanderbilt Commodores,Tennessee State Tigers,SEC,1,0,0,1.27112,1.125433597339065
1058,Sacred Heart Pioneers,Ohio State Buckeyes,NEC,0,1,0,0.68231,0.8553986344723594
1059,Ohio State Buckeyes,Sacred Heart Pioneers,Big Ten,1,0,0,1.51422,1.3406184057846495
1060,Delaware Blue Hens,Cal State Bakersfield Roadrunners,CAA,0,1,0,0.94896,0.925810925206602
1061,Cal State Bakersfield Roadrunners,Delaware Blue Hens,WAC,1,0,0,1.16035,1.1692585842496044
1062,Mercer Bears,Colorado State Rams,Southern,0,1,0,1.0284,1.0375225358267033
1063,Colorado State Rams,Mercer Bears,Mountain West,1,0,0,1.23772,1.1865926741096031
1064,Northeastern Huskies,Manhattan Jaspers,CAA,0,0,1,1.06863,1.0982800680662916
1065,Manhattan Jaspers,Northeastern Huskies,MAAC,0,0,1,0.82237,0.8745302520504759
1066,Washington Huskies,Pacific Tigers,Pac-12,1,0,0,1.1718,1.0146863897885483
1067,Pacific Tigers,Washington Huskies,WCC,0,1,0,1.05019,1.0316262002492913
1068,Northern Arizona Lumberjacks,Ole Miss Rebels,Big Sky,0,0,1,1.03329,1.104528501164224
1069,Ole Miss Rebels,Northern Arizona Lumberjacks,SEC,0,0,1,1.12007,1.0454288386900121
1070,UC Irvine Anteaters,Saint Mary's Gaels,Big West,0,1,0,1.06893,1.1057985681298095
1071,Saint Mary's Gaels,UC Irvine Anteaters,WCC,1,0,0,1.1194,1.0888970513443532
1072,Old Dominion Monarchs,Illinois State Redbirds,CUSA,0,0,1,0.77351,0.869657363047398
1073,Illinois State Redbirds,Old Dominion Monarchs,MVC,0,0,1,1.07043,1.1425621457717465
1074,Long Beach State Beach,UCLA Bruins,Big West,0,1,0,0.97598,1.0252859629923143
1075,UCLA Bruins,Long Beach State Beach,Pac-12,1,0,0,1.17608,1.1101678897336962
1076,Miami Hurricanes,Charlotte 49ers,ACC,0,0,1,1.24162,1.1219941983020099
1077,Charlotte 49ers,Miami Hurricanes,CUSA,0,0,1,0.92211,0.9947177738527118
1078,Montana Grizzlies,Seattle U Redhawks,Big Sky,0,1,0,1.14507,1.150030423672333
1079,Seattle U Redhawks,Montana Grizzlies,WAC,1,0,0,1.07783,1.1312030573925789
1080,Rider Broncs,Kansas Jayhawks,MAAC,0,1,0,1.02931,1.1758915780176546
1081,Kansas Jayhawks,Rider Broncs,Big 12,1,0,0,1.43849,1.3476917394485102
1082,East Carolina Pirates,Green Bay Phoenix,American,0,0,1,0.91146,1.0000160692729434
1083,Green Bay Phoenix,East Carolina Pirates,Horizon,0,0,1,1.21466,1.1647474029761578
1084,Nevada Wolf Pack,Weber State Wildcats,Mountain West,0,0,1,0.93363,0.884233601771625
1085,Weber State Wildcats,Nevada Wolf Pack,Big Sky,0,0,1,0.96999,0.9691156765557909
1086,Evansville Purple Aces,Fresno State Bulldogs,MVC,0,0,1,1.02401,0.9776847228597138
1087,Fresno State Bulldogs,Evansville Purple Aces,Mountain West,0,0,1,0.93134,0.9576861045416073
1088,Purdue Boilermakers,Kansas State Wildcats,Big Ten,0,0,1,1.25063,1.232196706272815
1089,Kansas State Wildcats,Purdue Boilermakers,Big 12,0,0,1,1.36166,1.3639458332019154
1090,Clemson Tigers,LSU Tigers,ACC,0,0,1,1.01626,1.0294229614667036
1091,LSU Tigers,Clemson Tigers,SEC,0,0,1,0.98058,1.0084515100079219
1092,Maryland Eastern Shore Hawks,Detroit Mercy Titans,MEAC,0,0,1,0.92346,1.0222042007784728
1093,Detroit Mercy Titans,Maryland Eastern Shore Hawks,Horizon,0,0,1,1.18527,1.1260735299827047
1094,Georgia State Panthers,Chicago State Cougars,Sun Belt,0,0,1,1.09699,1.0746486268888975
1095,Chicago State Cougars,Georgia State Panthers,WAC,0,0,1,0.71603,0.8959687071967002
1096,Missouri Tigers,Arizona Wildcats,SEC,0,0,1,0.85674,0.9568461472847454
1097,Arizona Wildcats,Missouri Tigers,Pac-12,0,0,1,1.19048,1.112352262657718
1098,Austin Peay Governors,Indiana State Sycamores,OVC,0,1,0,0.84628,0.8699264342506702
1099,Indiana State Sycamores,Austin Peay Governors,MVC,1,0,0,0.95869,0.8740546807913591
1100,Milwaukee Panthers,Louisiana Ragin' Cajuns,Horizon,0,0,1,0.87065,0.8915614542599826
1101,Louisiana Ragin' Cajuns,Milwaukee Panthers,Sun Belt,0,0,1,0.7896,0.7735241202880218
1102,Gardner-Webb Runnin' Bulldogs,Old Dominion Monarchs,Big South,0,0,1,0.76544,0.8691539047087947
1103,Old Dominion Monarchs,Gardner-Webb Runnin' Bulldogs,CUSA,0,0,1,0.97572,0.8933854874601929
1104,Marist Red Foxes,Florida Gulf Coast Eagles,MAAC,0,0,1,0.656,0.698541161104018
1105,Florida Gulf Coast Eagles,Marist Red Foxes,ASUN,0,0,1,0.88071,0.8875206853129303
1106,SE Louisiana Lions,Tennessee Tech Golden Eagles,Southland,0,1,0,0.92952,0.8882562567833465
1107,Tennessee Tech Golden Eagles,SE Louisiana Lions,OVC,1,0,0,1.22425,1.1851913412713342
1108,Hampton Pirates,App State Mountaineers,MEAC,0,1,0,1.0712,1.1124299176166952
1109,App State Mountaineers,Hampton Pirates,Sun Belt,1,0,0,1.19097,1.1732373693065377
1110,Santa Clara Broncos,Michigan State Spartans,WCC,0,1,0,0.80509,0.8856851453347301
1111,Michigan State Spartans,Santa Clara Broncos,Big Ten,1,0,0,1.27624,1.1240284540630774
1112,Arizona State Sun Devils,Maryland Terrapins,Pac-12,0,0,1,1.18519,1.235089678973901
1113,Maryland Terrapins,Arizona State Sun Devils,Big Ten,0,0,1,1.27112,1.2348445776777726
1114,Florida International Panthers,Georgia Southern Eagles,CUSA,0,1,0,1.01958,1.072545531164219
1115,Georgia Southern Eagles,Florida International Panthers,Sun Belt,1,0,0,1.1124,1.0909940857789142
1116,Western Carolina Catamounts,Oakland Golden Grizzlies,Southern,0,0,1,1.19358,1.0854146260175535
1117,Oakland Golden Grizzlies,Western Carolina Catamounts,Horizon,0,0,1,1.05882,1.0101396389676018
1118,East Tennessee State Buccaneers,Winthrop Eagles,Southern,0,1,0,1.05019,1.0000977961078334
1119,Winthrop Eagles,East Tennessee State Buccaneers,Big South,1,0,0,0.98619,0.9471069176515441
1120,Villanova Wildcats,VCU Rams,Big East,0,0,1,1.33591,1.3317401764835057
1121,VCU Rams,Villanova Wildcats,A-10,0,0,1,0.91586,1.0498952364116958
1122,Murray State Racers,Xavier Musketeers,OVC,0,1,0,0.90049,0.984379080236609
1123,Xavier Musketeers,Murray State Racers,Big East,1,0,0,1.34516,1.2366227722039602
1124,Nicholls Colonels,Wake Forest Demon Deacons,Southland,0,1,0,0.73142,0.8002562007008629
1125,Wake Forest Demon Deacons,Nicholls Colonels,ACC,1,0,0,1.13488,0.9604353573408148
1126,Savannah State Tigers,Louisville Cardinals,MEAC,0,1,0,0.36461,0.6260552543291306
1127,Louisville Cardinals,Savannah State Tigers,ACC,1,0,0,1.23805,1.0870077207885527
1128,Grambling Tigers,Ball State Cardinals,SWAC,0,1,0,0.74544,0.8183619088147192
1129,Ball State Cardinals,Grambling Tigers,MAC,1,0,0,1.42694,1.1983547902094784
1130,Colgate Raiders,James Madison Dukes,Patriot,0,1,0,1.20532,1.1926832880533202
1131,James Madison Dukes,Colgate Raiders,CAA,1,0,0,1.29955,1.214135605116032
1132,Bucknell Bison,Toledo Rockets,Patriot,0,1,0,0.99163,1.0074789978222596
1133,Toledo Rockets,Bucknell Bison,MAC,1,0,0,1.41681,1.3245650271293392
1134,Eastern Washington Eagles,Indiana Hoosiers,Big Sky,0,1,0,1.25778,1.2517862670041897
1135,Indiana Hoosiers,Eastern Washington Eagles,Big Ten,1,0,0,1.21452,1.0337389653535511
1136,Jacksonville Dolphins,Purdue Fort Wayne Mastodons,ASUN,0,1,0,0.98611,0.9799493321606696
1137,Purdue Fort Wayne Mastodons,Jacksonville Dolphins,Summit,1,0,0,1.23414,1.0804959310173188
1138,Brown Bears,Illinois Fighting Illini,Ivy,0,1,0,1.04659,1.1520443114769308
1139,Illinois Fighting Illini,Brown Bears,Big Ten,1,0,0,1.39789,1.2363702483359382
1140,Lipscomb Bisons,Belmont Bruins,ASUN,1,0,0,1.06774,1.042774941899476
1141,Belmont Bruins,Lipscomb Bisons,OVC,1,0,0,1.187,1.0876992334996511
1142,Pepperdine Waves,Iowa Hawkeyes,WCC,0,0,1,0.90207,0.950345692313374
1143,Iowa Hawkeyes,Pepperdine Waves,Big Ten,0,0,1,1.06474,1.0477890146694506
1144,Prairie View A&M Panthers,Memphis Tigers,SWAC,0,1,0,0.78045,0.9805052062845184
1145,Memphis Tigers,Prairie View A&M Panthers,American,1,0,0,1.21381,1.1549701666558858
1146,Mississippi Valley State Delta Devils,TCU Horned Frogs,SWAC,0,1,0,0.76086,0.956514119155323
1147,TCU Horned Frogs,Mississippi Valley State Delta Devils,Big 12,1,0,0,1.48091,1.2060019785933092
1148,Stephen F. Austin Lumberjacks,Baylor Bears,Southland,0,1,0,0.84272,0.9939713958299715
1149,Baylor Bears,Stephen F. Austin Lumberjacks,Big 12,1,0,0,1.13372,1.0583259423157545
1150,Hawai'i Rainbow Warriors,San Francisco Dons,Big West,0,0,1,0.92508,0.9503190030831637
1151,San Francisco Dons,Hawai'i Rainbow Warriors,WCC,0,0,1,1.23208,1.206243151508923
1152,Oregon State Beavers,Oklahoma State Cowboys,Pac-12,0,0,1,0.90684,0.9416062734623314
1153,Oklahoma State Cowboys,Oregon State Beavers,Big 12,0,0,1,1.14813,1.1782643043064494
1154,Seton Hall Pirates,Illinois State Redbirds,Big East,0,0,1,1.20325,1.2091239125853426
1155,Illinois State Redbirds,Seton Hall Pirates,MVC,0,0,1,1.12249,1.152736671910146
1156,Florida A&M Rattlers,Wyoming Cowboys,MEAC,0,1,0,0.83586,0.974756861897615
1157,Wyoming Cowboys,Florida A&M Rattlers,Mountain West,1,0,0,1.20276,1.027372574992566
1158,Alabama Crimson Tide,Iowa State Cyclones,SEC,0,0,1,1.018,1.0235393965194746
1159,Iowa State Cyclones,Alabama Crimson Tide,Big 12,0,0,1,1.21124,1.190499598705095
1160,SIU Edwardsville Cougars,Portland State Vikings,OVC,0,1,0,1.2545,1.211524412217824
1161,Portland State Vikings,SIU Edwardsville Cougars,Big Sky,1,0,0,1.33547,1.2932348457224416
1162,Western Michigan Broncos,San Diego Toreros,MAC,0,1,0,1.04826,1.0838800532749286
1163,San Diego Toreros,Western Michigan Broncos,WCC,1,0,0,1.18792,1.0773951647713589
1164,Michigan Wolverines,Oregon Ducks,Big Ten,0,0,1,1.22016,1.1690192815671052
1165,Oregon Ducks,Michigan Wolverines,Pac-12,0,0,1,1.04299,1.0575788471504801
1166,Tulsa Golden Hurricane,Auburn Tigers,American,0,0,1,0.90743,0.922290634805943
1167,Auburn Tigers,Tulsa Golden Hurricane,SEC,0,0,1,0.57288,0.5902143883088862
1168,Tennessee State Tigers,Virginia Cavaliers,OVC,0,1,0,0.68231,0.9003061746765966
1169,Virginia Cavaliers,Tennessee State Tigers,ACC,1,0,0,1.48007,1.316430400455895
1170,BYU Cougars,San Diego State Aztecs,WCC,0,0,1,1.10951,1.1855593848522232
1171,San Diego State Aztecs,BYU Cougars,Mountain West,0,0,1,1.18841,1.1991982051633152
1172,Arkansas Razorbacks,SMU Mustangs,SEC,0,1,0,1.15216,1.164984282948188
1173,SMU Mustangs,Arkansas Razorbacks,American,1,0,0,1.05219,1.0744538353202966
1174,St. Francis (PA) Red Flash,Texas Longhorns,NEC,0,1,0,0.75818,0.9063747259796897
1175,Texas Longhorns,St. Francis (PA) Red Flash,Big 12,1,0,0,1.2905,1.1806777442197405
1176,Fresno State Bulldogs,East Carolina Pirates,Mountain West,0,0,1,0.93326,0.8887156692050192
1177,East Carolina Pirates,Fresno State Bulldogs,American,0,0,1,1.04167,1.009962175357633
1178,Hawai'i Rainbow Warriors,Marist Red Foxes,Big West,0,0,1,0.96336,0.9340385281203785
1179,Marist Red Foxes,Hawai'i Rainbow Warriors,MAAC,0,0,1,0.83128,0.876628884600719
1180,Morgan State Bears,Elon Phoenix,MEAC,0,0,1,1.08445,1.1612109455451107
1181,Elon Phoenix,Morgan State Bears,CAA,0,0,1,1.11715,1.0413467366023894
1182,Purdue Boilermakers,Missouri Tigers,Big Ten,0,0,1,1.2764,1.1634453897770747
1183,Missouri Tigers,Purdue Boilermakers,SEC,0,0,1,0.93719,0.9504965145846795
1184,Liberty Flames,North Florida Ospreys,Big South,0,0,1,0.88303,0.8782037133589876
1185,North Florida Ospreys,Liberty Flames,ASUN,0,0,1,1.1747,1.1500814348283581
1186,Maryland Eastern Shore Hawks,Bucknell Bison,MEAC,0,0,1,0.92705,0.9805541277985957
1187,Bucknell Bison,Maryland Eastern Shore Hawks,Patriot,0,0,1,0.97698,0.9448885230456888
1188,Western Carolina Catamounts,Georgia State Panthers,Southern,0,0,1,1.12179,1.147239209650574
1189,Georgia State Panthers,Western Carolina Catamounts,Sun Belt,0,0,1,1.4235,1.3992248770388238
1190,Detroit Mercy Titans,Toledo Rockets,Horizon,0,1,0,1.27411,1.2628540047592753
1191,Toledo Rockets,Detroit Mercy Titans,MAC,1,0,0,1.1885,1.1414951001092166
1192,Evansville Purple Aces,Green Bay Phoenix,MVC,0,0,1,1.05805,1.131988616775024
1193,Green Bay Phoenix,Evansville Purple Aces,Horizon,0,0,1,1.08085,1.1018278383127458
1194,Alabama Crimson Tide,Arizona State Sun Devils,SEC,0,0,1,1.20387,1.1843400260977894
1195,Arizona State Sun Devils,Alabama Crimson Tide,Pac-12,0,0,1,1.1281,1.1364617045484857
1196,UT Arlington Mavericks,Kentucky Wildcats,Sun Belt,0,1,0,0.6658,0.9406969448656376
1197,Kentucky Wildcats,UT Arlington Mavericks,SEC,1,0,0,1.35895,1.254614578324701
1198,Western Kentucky Hilltoppers,Stony Brook Seawolves,CUSA,0,1,0,0.93554,0.969460267493483
1199,Stony Brook Seawolves,Western Kentucky Hilltoppers,AM. EAST,1,0,0,1.11383,1.161336538095867
1200,UT Martin Skyhawks,Bethune-Cookman Wildcats,OVC,0,1,0,1.17792,1.1339986797565562
1201,Bethune-Cookman Wildcats,UT Martin Skyhawks,MEAC,1,0,0,0.97613,0.9881166304457453
1202,Fairleigh Dickinson Knights,Columbia Lions,NEC,0,1,0,0.86316,0.883529839903684
1203,Columbia Lions,Fairleigh Dickinson Knights,Ivy,1,0,0,1.0733,0.9654624194180994
1204,St. Francis Brooklyn Terriers,La Salle Explorers,NEC,0,1,0,0.82891,0.9822753525664119
1205,La Salle Explorers,St. Francis Brooklyn Terriers,A-10,1,0,0,1.02759,0.960397659196563
1206,Jackson State Tigers,St. Bonaventure Bonnies,SWAC,0,1,0,1.05957,1.204735005972358
1207,St. Bonaventure Bonnies,Jackson State Tigers,A-10,1,0,0,1.2116,1.1376675274816104
1208,Chicago State Cougars,Oakland Golden Grizzlies,WAC,0,0,1,0.9129,0.9592241235636796
1209,Oakland Golden Grizzlies,Chicago State Cougars,Horizon,0,0,1,1.09947,1.0527233888176755
1210,The Citadel Bulldogs,Florida State Seminoles,Southern,0,1,0,1.04853,1.0543502739722201
1211,Florida State Seminoles,The Citadel Bulldogs,ACC,1,0,0,1.34173,1.033975681297148
1212,Arkansas-Pine Bluff Golden Lions,Ohio Bobcats,SWAC,0,1,0,0.85429,0.9261059655395838
1213,Ohio Bobcats,Arkansas-Pine Bluff Golden Lions,MAC,1,0,0,1.01404,0.8755703988964666
1214,Southeast Missouri State Redhawks,Bowling Green Falcons,OVC,0,1,0,0.90492,0.9632078577619012
1215,Bowling Green Falcons,Southeast Missouri State Redhawks,MAC,1,0,0,1.04707,0.9655607196229248
1216,Loyola Maryland Greyhounds,Syracuse Orange,Patriot,0,1,0,0.59885,0.7501795280210739
1217,Syracuse Orange,Loyola Maryland Greyhounds,ACC,1,0,0,1.11221,0.968545666004697
1218,Boston University Terriers,New Hampshire Wildcats,Patriot,0,1,0,1.06999,1.1079206814178553
1219,New Hampshire Wildcats,Boston University Terriers,AM. EAST,1,0,0,1.19384,1.1458724068309192
1220,Pennsylvania Quakers,Temple Owls,Ivy,1,0,0,1.0312,1.0955504743841487
1221,Temple Owls,Pennsylvania Quakers,American,1,0,0,1.17388,1.096918009317323
1222,Western Illinois Leathernecks,William & Mary Tribe,Summit,0,1,0,0.72626,0.7088273030109515
1223,William & Mary Tribe,Western Illinois Leathernecks,CAA,1,0,0,1.24079,1.170520554577871
