espn_name,adj_efficiency_margin
UIC Flames,0.012841471714371914
Seattle U Redhawks,0.01277813606218217
UNC Asheville Bulldogs,0.012668906434789295
Wright State Raiders,0.009921522049045497
Rice Owls,0.009272005000595163
James Madison Dukes,0.008359193833682272
East Carolina Pirates,0.007435534753446701
Towson Tigers,0.0067605970446912855
Duquesne Dukes,0.006748552061511547
Arizona State Sun Devils,0.006346327358238363
South Carolina Gamecocks,0.005933527240946081
UNLV Rebels,0.00537188003347823
Wofford Terriers,0.004508213423393919
Georgia Tech Yellow Jackets,0.0037530616071834674
Southern Jaguars,0.0028874329640644404
Omaha Mavericks,0.0028495569166164156
Wichita State Shockers,0.0025008507604430833
Texas State Bobcats,7.04736568739746e-05
Hawai'i Rainbow Warriors,-3.2480764670212384e-05
Murray State Racers,-0.0003986563807670355
Northeastern Huskies,-0.002166375603928361
Queens University Royals,-0.0024981904015135134
UC Riverside Highlanders,-0.0025895024485066117
Siena Saints,-0.002945961712346961
Virginia Cavaliers,-0.00301761729577397
Massachusetts Minutemen,-0.0031246516399719066
Nicholls Colonels,-0.0036498453662399386
UMass Lowell River Hawks,-0.004047744181647275
California Golden Bears,-0.004392833795960592
South Florida Bulls,-0.004840000385838887
UCF Knights,-0.005150213283383392
Lamar Cardinals,-0.005171171433157305
Idaho State Bengals,-0.007093778628149954
DePaul Blue Demons,-0.007465003051952731
Eastern Kentucky Colonels,-0.007720046340702432
Radford Highlanders,-0.008017403538580136
Tennessee State Tigers,-0.008125768348340369
Manhattan Jaspers,-0.008669918664374466
South Carolina State Bulldogs,-0.009266131422688569
Sacred Heart Pioneers,-0.010801862166013598
Montana State Bobcats,-0.01303452168552709
William & Mary Tribe,-0.01438049103365194
Dartmouth Big Green,-0.014710676754973905
Providence Friars,-0.01486484316571733
Kennesaw State Owls,-0.01587326485258163
Northern Arizona Lumberjacks,-0.016409331836872775
Loyola Marymount Lions,-0.0176620894684221
UT Arlington Mavericks,-0.01964965341504959
Washington Huskies,-0.02074359609685306
Toledo Rockets,-0.02307352782787676
Ball State Cardinals,-0.02491720215570581
Colorado Buffaloes,-0.02593003033933746
Minnesota Golden Gophers,-0.027384365224382055
Hofstra Pride,-0.027664868269557285
Southern Illinois Salukis,-0.027951201099245537
Oklahoma State Cowboys,-0.02911403443164436
Iona Gaels,-0.029208650082533347
New Mexico State Aggies,-0.029911193253722133
Incarnate Word Cardinals,-0.03022861968758595
Bucknell Bison,-0.03177295085070368
Delaware Blue Hens,-0.03200133439846263
UMBC Retrievers,-0.03216316393968784
South Dakota Coyotes,-0.032386491013905214
UAlbany Great Danes,-0.03334586297835541
Central Michigan Chippewas,-0.033404806213152255
UT Rio Grande Valley Vaqueros,-0.034012544563435325
San José State Spartans,-0.034413577676986454
Navy Midshipmen,-0.03470161813020666
Montana Grizzlies,-0.03519418186975096
Kansas City Roos,-0.03555084989437999
Stonehill Skyhawks,-0.035573006552253233
Mercer Bears,-0.035627196381829124
Indiana State Sycamores,-0.03876536622874396
Georgia Southern Eagles,-0.03928921294262879
Tennessee Tech Golden Eagles,-0.03946095407380729
Loyola Maryland Greyhounds,-0.04018044726107448
Lafayette Leopards,-0.04185372454833803
Long Island University Sharks,-0.04272363965121574
Army Black Knights,-0.0428095761414464
Northern Kentucky Norse,-0.04555754116242932
Colgate Raiders,-0.046261018248254106
Virginia Tech Hokies,-0.04627600661635448
UC Davis Aggies,-0.0468094823200676
Mount St. Mary's Mountaineers,-0.047150011922260766
American University Eagles,-0.04852830584487765
Fordham Rams,-0.05016325163250093
Boston University Terriers,-0.051164637915202156
Delaware State Hornets,-0.05155262573528119
Wyoming Cowboys,-0.052155270012764696
TCU Horned Frogs,-0.05293514289199449
Saint Peter's Peacocks,-0.0530592144284441
Bethune-Cookman Wildcats,-0.05324598703511201
Oakland Golden Grizzlies,-0.053268284633908404
Gardner-Webb Runnin' Bulldogs,-0.053469021489980055
Brown Bears,-0.05489601285950823
UT Martin Skyhawks,-0.056928675626547645
Stephen F. Austin Lumberjacks,-0.058260596246568
Syracuse Orange,-0.0585931587507372
Tulsa Golden Hurricane,-0.058761093311431936
Florida International Panthers,-0.05889773870118194
North Florida Ospreys,-0.06053318072441915
UTSA Roadrunners,-0.06088578941347912
Niagara Purple Eagles,-0.06122243292475454
Presbyterian Blue Hose,-0.06257299426136825
Idaho Vandals,-0.06273008557813017
Cal State Bakersfield Roadrunners,-0.0654582719436501
Alabama State Hornets,-0.0664560283595303
VMI Keydets,-0.06710148896165778
La Salle Explorers,-0.06728678782384867
Valparaiso Beacons,-0.06786724848667802
Pepperdine Waves,-0.06851661130246296
Holy Cross Crusaders,-0.07013359022950724
Hampton Pirates,-0.07036834144470565
Vermont Catamounts,-0.07172393388483866
Cal Poly Mustangs,-0.07185556679430057
Lehigh Mountain Hawks,-0.0724192614463212
Eastern Washington Eagles,-0.07298367970512774
Evansville Purple Aces,-0.07483159142526001
Georgia State Panthers,-0.07550443825265489
Bowling Green Falcons,-0.0767134436727801
Charlotte 49ers,-0.07707000659766244
Houston Christian Huskies,-0.07730876222577843
Southern Indiana Screaming Eagles,-0.07784198618345424
Binghamton Bearcats,-0.07829931724794581
Sam Houston Bearkats,-0.0791862712267552
Miami Hurricanes,-0.08026319174015957
North Carolina Central Eagles,-0.08063450629797418
Southern Miss Golden Eagles,-0.08073678555543295
Texas Southern Tigers,-0.08468888409188811
Missouri State Bears,-0.0855530811373265
Morehead State Eagles,-0.08793276178911019
Monmouth Hawks,-0.08803973788722846
Old Dominion Monarchs,-0.08927916447094715
North Dakota Fighting Hawks,-0.09004502406056454
Fairleigh Dickinson Knights,-0.09150975162690722
Eastern Michigan Eagles,-0.09248147735956631
Rider Broncs,-0.092642357095441
Pennsylvania Quakers,-0.09554521397203632
Harvard Crimson,-0.09664418213209554
St. Francis (PA) Red Flash,-0.09748916614527889
Boston College Eagles,-0.10145135514169533
Charleston Southern Buccaneers,-0.10197420568886288
Austin Peay Governors,-0.10216862769672701
Abilene Christian Wildcats,-0.10298379516671985
Seton Hall Pirates,-0.1051244273569183
Howard Bison,-0.1065520557897177
Northwestern State Demons,-0.10799146016390651
Coastal Carolina Chanticleers,-0.11315393484083343
Lindenwood Lions,-0.11542070360279308
Western Michigan Broncos,-0.11568756368825837
Southern Utah Thunderbirds,-0.11679473261103142
Jackson State Tigers,-0.11770619301757318
Mercyhurst Lakers,-0.11778907206451643
Richmond Spiders,-0.1195919585230659
Morgan State Bears,-0.11965285710606978
IU Indianapolis Jaguars,-0.1198686429718574
Weber State Wildcats,-0.1202930018417212
Wagner Seahawks,-0.12118316549121115
Louisiana Ragin' Cajuns,-0.12364372833852189
Florida A&M Rattlers,-0.12509743410672575
Fairfield Stags,-0.12546562811539622
North Carolina A&T Aggies,-0.13175093844147776
Fresno State Bulldogs,-0.13189481271322964
Grambling Tigers,-0.13323812182661274
Western Illinois Leathernecks,-0.13363272342736207
Denver Pioneers,-0.1374417228913374
Utah Tech Trailblazers,-0.13918772749096753
Alabama A&M Bulldogs,-0.1410627930432801
Eastern Illinois Panthers,-0.1413284832037427
Air Force Falcons,-0.14826833339186568
Stony Brook Seawolves,-0.14843681154837268
Pacific Tigers,-0.1495206005499031
San Diego Toreros,-0.15112175092286087
Le Moyne Dolphins,-0.15251392336837877
Detroit Mercy Titans,-0.15394670508006514
UL Monroe Warhawks,-0.15832724891724753
West Georgia Wolves,-0.15913767790565544
Long Beach State Beach,-0.15948156967859856
East Texas A&M Lions,-0.1600588706160862
Sacramento State Hornets,-0.16026155906516784
NJIT Highlanders,-0.16054321357810103
Alcorn State Braves,-0.1630552039216925
Oral Roberts Golden Eagles,-0.16817981998823317
Prairie View A&M Panthers,-0.16920770546654554
Central Arkansas Bears,-0.171116985913959
Buffalo Bulls,-0.17722392136012902
Bellarmine Knights,-0.1810245711609728
Stetson Hatters,-0.18581635557251036
Tarleton State Texans,-0.1880103262624422
South Carolina Upstate Spartans,-0.18911442544475152
Canisius Golden Griffins,-0.19039214805731788
New Hampshire Wildcats,-0.1920155067543117
Cal State Fullerton Titans,-0.1940741807537463
Northern Illinois Huskies,-0.19427021582859094
Portland Pilots,-0.19980652461439838
Green Bay Phoenix,-0.20511613677127055
Western Carolina Catamounts,-0.2248694940371284
New Orleans Privateers,-0.2249985548759354
The Citadel Bulldogs,-0.2288436120049217
Chicago State Cougars,-0.22981460235267948
Arkansas-Pine Bluff Golden Lions,-0.2754737057006353
Coppin State Eagles,-0.2818210528259959
Maryland Eastern Shore Hawks,-0.30601774645477875
Mississippi Valley State Delta Devils,-0.5348178619679073
