ESPN_Name,Conference
Eastern Michigan Eagles,Mid-American
Kent State Golden Flashes,Mid-American
Miami (OH) RedHawks,Mid-American
Northern Illinois Huskies,Mid-American
Ohio Bobcats,Mid-American
Toledo Rockets,Mid-American
Western Michigan Broncos,Mid-American
Belmont Bruins,Missouri Valley
Bradley Braves,Missouri Valley
Drake Bulldogs,Missouri Valley
Evansville Purple Aces,Missouri Valley
Illinois State Redbirds,Missouri Valley
Indiana State Sycamores,Missouri Valley
Missouri State Bears,Missouri Valley
Murray State Racers,Missouri Valley
Northern Iowa Panthers,Missouri Valley
Southern Illinois Salukis,Missouri Valley
UIC Flames,Missouri Valley
Valparaiso Beacons,Missouri Valley
Air Force Falcons,Mountain West
Boise State Broncos,Mountain West
Colorado State Rams,Mountain West
Fresno State Bulldogs,Mountain West
Nevada Wolf Pack,Mountain West
New Mexico Lobos,Mountain West
San Diego State Aztecs,Mountain West
San José State Spartans,Mountain West
UNLV Rebels,Mountain West
Utah State Aggies,Mountain West
Wyoming Cowboys,Mountain West
Central Connecticut Blue Devils,Northeast
Fairleigh Dickinson Knights,Northeast
Le Moyne Dolphins,Northeast
Long Island University Sharks,Northeast
Merrimack Warriors,Northeast
Sacred Heart Pioneers,Northeast
St. Francis (PA) Red Flash,Northeast
Stonehill Skyhawks,Northeast
Wagner Seahawks,Northeast
Eastern Illinois Panthers,Ohio Valley
Lindenwood Lions,Ohio Valley
Little Rock Trojans,Ohio Valley
Morehead State Eagles,Ohio Valley
SIU Edwardsville Cougars,Ohio Valley
Southeast Missouri State Redhawks,Ohio Valley
Southern Indiana Screaming Eagles,Ohio Valley
Tennessee State Tigers,Ohio Valley
Tennessee Tech Golden Eagles,Ohio Valley
UT Martin Skyhawks,Ohio Valley
Western Illinois Leathernecks,Ohio Valley
Arizona State Sun Devils,Pac-12
Arizona Wildcats,Pac-12
California Golden Bears,Pac-12
Colorado Buffaloes,Pac-12
Oregon Ducks,Pac-12
Oregon State Beavers,Pac-12
Stanford Cardinal,Pac-12
UCLA Bruins,Pac-12
USC Trojans,Pac-12
Utah Utes,Pac-12
Washington Huskies,Pac-12
Washington State Cougars,Pac-12
American University Eagles,Patriot League
Army Black Knights,Patriot League
Boston University Terriers,Patriot League
Bucknell Bison,Patriot League
Colgate Raiders,Patriot League
Holy Cross Crusaders,Patriot League
Lafayette Leopards,Patriot League
Lehigh Mountain Hawks,Patriot League
Loyola Maryland Greyhounds,Patriot League
Navy Midshipmen,Patriot League
Alabama Crimson Tide,SEC
Arkansas Razorbacks,SEC
Auburn Tigers,SEC
Florida Gators,SEC
Georgia Bulldogs,SEC
Kentucky Wildcats,SEC
LSU Tigers,SEC
Mississippi State Bulldogs,SEC
Missouri Tigers,SEC
Ole Miss Rebels,SEC
South Carolina Gamecocks,SEC
Tennessee Volunteers,SEC
Texas A&M Aggies,SEC
Vanderbilt Commodores,SEC
Alabama A&M Bulldogs,SWAC
Alabama State Hornets,SWAC
Alcorn State Braves,SWAC
Arkansas-Pine Bluff Golden Lions,SWAC
Bethune-Cookman Wildcats,SWAC
Florida A&M Rattlers,SWAC
Grambling Tigers,SWAC
Jackson State Tigers,SWAC
Mississippi Valley State Delta Devils,SWAC
Prairie View A&M Panthers,SWAC
Southern Jaguars,SWAC
Texas Southern Tigers,SWAC
Chattanooga Mocs,Southern
East Tennessee State Buccaneers,Southern
Furman Paladins,Southern
